Recipe,Ingredients,Instructions,Gluten,Dairy,Eggs,Nuts
Korean Beef Bowl,"Minced beef, Garlic, Ginger, Soy Sauce, Brown Sugar, Sesame Oil, Gochujang, Rice Vinegar, White Rice","Cook beef with garlic and ginger until browned. Add sauce, simmer briefly, and serve over rice.",N,N,N,N
Chicken Satay,"Chicken, Garlic, Ginger, Turmeric, Coreander, Cumin, Brown sugar, Fish sauce","Marinate chicken, skewer, then grill or pan-fry until cooked. Serve with satay sauce.",N,N,N,N
Pad Thai,"Brown Sugar, Fish Sauce, Tamarind puree, Oyster Sauce, Canola oil, Onion, Garlic, Chicken Breast, Eggs, Beansprouts, Garlic Chives, Peanuts, Rice noodles","Soften noodles. Stir-fry protein, egg, noodles, and sauce until well mixed and heated through.",N,N,Y,Y
Garlic Butter Pasta,"Elbow Pasta, Garlic, Parmesan, Lemon Juice, Chicken Bouillon Cube, Half and half, Chicken Broth","Cook pasta. Toss with melted butter, garlic, seasoning, and parmesan.",Y,Y,N,N
Teriyaki Salmon,"Salmon Fillets, Soy Sauce, Mirin, Brown Sugar, Garlic, Ginger, Sesame Oil, White Rice","Mix sauce ingredients. Pan-sear salmon, add sauce, and simmer until glazed. Serve over rice.",N,N,N,N
Beef Tacos,"Minced Beef, Taco Seasoning, Garlic, Onion, Tomato Paste, Taco Shells, Lettuce, Cheese","Cook beef with seasoning and onion. Fill taco shells and top as desired.",Y,Y,N,N
Chicken Alfredo,"Fettuccine, Chicken Breast, Garlic, Butter, Heavy Cream, Parmesan, Black Pepper","Cook pasta. Cook chicken separately. Combine with cream sauce and parmesan.",Y,Y,N,N
Vegetable Stir Fry,"Broccoli, Carrots, Bell Peppers, Snow Peas, Garlic, Ginger, Soy Sauce, Sesame Oil, Rice","Stir-fry vegetables in oil. Add sauce and cook until tender-crisp. Serve over rice.",N,N,N,N
Shrimp Fried Rice,"Shrimp, White Rice, Eggs, Soy Sauce, Garlic, Green Onions, Sesame Oil, Peas, Carrots","Scramble eggs, remove. Cook shrimp, add rice and vegetables, return eggs, and season.",N,N,Y,N
Creamy Tomato Soup,"Canned Tomatoes, Onion, Garlic, Vegetable Broth, Heavy Cream, Butter, Basil","Cook onion and garlic in butter. Add tomatoes and broth, simmer, blend, stir in cream.",N,Y,N,N
Beef Stroganoff,"Beef Strips, Mushrooms, Onion, Garlic, Beef Broth, Sour Cream, Egg Noodles, Butter","Cook beef and set aside. Cook vegetables, add broth, simmer, stir in sour cream, serve over noodles.",Y,Y,N,N
Chicken Caesar Salad,"Chicken Breast, Romaine Lettuce, Parmesan, Caesar Dressing, Croutons, Olive Oil, Black Pepper","Grill chicken. Toss lettuce with dressing, top with chicken, parmesan, and croutons.",Y,Y,N,N
Lentil Curry,"Red Lentils, Onion, Garlic, Ginger, Curry Powder, Cumin, Coconut Milk, Diced Tomatoes, Rice","Cook onion and spices. Add lentils, tomatoes, and coconut milk. Simmer until tender. Serve over rice.",N,N,N,N
BBQ Pulled Pork Sandwich,"Pork Shoulder, BBQ Sauce, Brown Sugar, Paprika, Garlic Powder, Burger Buns, Coleslaw","Slow cook pork with seasoning. Shred and mix with sauce. Serve on buns with slaw.",Y,N,N,N